,헤드라인,레이블
2071,"[단독] ""테슬라처럼"" 현대차, 차량 성능 무선 업데이트 기술 탑재한다",1.0
2072,충돌 위험땐 알아서 브레이크… 車 첨단장치 다니 안전 ‘파란불’,1.0
2073,"현대차, 베트남시장서 1위… 도요타 제쳐",1.0
2074,베트남서 도요타 제치고 승용차 1위 오른 현대車,1.0
2075,국내 생산 없는데…테슬라 보조금 1250만원은 특혜?,0.0
2076,"정몽구 현대차그룹 회장 입원 ""염증 치료 후 곧 퇴원 예정""",0.0
2077,"현대·기아차, 코로나에도 유럽서 ‘질주’",1.0
2078,"현대차, 취약계층 아동과 ‘H-맛있는 동행’ 요리교육 진행",1.0
2079,버스·트럭 수소차 전환시 연료비 보전…현대차에 날개,1.0
2080,"애국소비·프리미엄에 밀려···현대·기아차, 중국서 고전",0.0
2081,요리 가르치고 나눠… 현대차 노사의 ‘맛있는 동행’,1.0
2082,주문 밀려 그랜저 증산…그래도 못 웃는 현대차,0.0
2083,"현대車, 美서 쏘나타 등 4개 차종 27만여대 리콜",0.0
2084,갈 길 바쁜 현대차…노조는 '전기차 모듈' 두고 갈등 조짐,0.0
2085,올해 1~5월 세계 전기차 판매량서 현대·기아차 나란히 6·7위,1.0
2086,"현대·기아차, 글로벌 전기차 판매 톱10 `선방`",1.0
2087,이재용·정의선 또 만난다…현대차 남양硏서 미래차 논의,1.0
2088,"이재용-정의선, 오는 21일 '2차 회동'…미래차 협업 속도",1.0
2089,"현대차, 폐플라스틱 장난감 재활용 앞장선다",1.0
2090,'한국판 뉴딜'…현대차 ‘그린’ 지원· 네이버 ‘디지털’ 뒷받침,1.0
2091,"""고장난 장난감 버리지마세요"" 현대차그룹, 폐 플라스틱 순환 지원 사업 나서",1.0
2092,문재인 대통령 '한국판 뉴딜'에 화답한 현대차·네이버,1.0
2093,"현대로템CB 투자자, 한 달 만에 60% 수익?",1.0
2094,"[fn사설] 현대차 기강해이에 철퇴, 품질이 최우선이다",0.0
2095,현대·기아차-스타트업 손잡고 ICT 기반 물류 혁신 시동,1.0
2096,"현대기아차, IT 물류 스타트업과 '스마트 물류 솔루션' 개발 협력",1.0
2097,"가스공사, 현대차 손잡고 수소 합작법인 세운다",1.0
2098,"""세계 1등 수소경제"" 가스公·현대차 함께 이끈다",1.0
2099,“우린 안 써주면 그만인 소모품”… ‘그린뉴딜’ 누군가엔 해고장 [기후위기...,0.0
2100,현대차 시총 3위→11위 추락… 코로나발 해외 판매 급감 ‘직격탄’,0.0
2101,[충무로에서] `돈맥경화` 자동차 부품사의 절규,0.0
2102,현대차 '상생' vs. 한국GM·르노삼성 '강성',0.0
2103,"현대차 노사, 도요타式 품질혁신 시동",1.0
2104,자동차 탄생 135년 ‘혁신의 순간’ 네 번 있었다,1.0
2105,"1608개사 환경정보공개 성적 보니, 현대글로비스가 톱",1.0
2106,현대글로비스 ‘환경정보공개’ 최우수···환경부장관상 수상,1.0
2107,"현대글로비스, 환경정보공개 대상서 ‘장관 표창’",1.0
2108,현대차 노조 달라지니···이번엔 기아차 노조가 '딴지',0.0
2109,"현대차, 상습 조기 퇴근 노조원 해고",0.0
2110,심재훈 현대차 연구원 등 엔지니어상,1.0
2111,현대차 '온라인 쇼케이스'로 인도 공략 박차,1.0
2112,"“세계자동차 생산-판매, 2023년 돼야 회복”",0.0
2113,"“세계 자동차 판매량, 올해 7000만대 초반 후퇴…2023년 돼야 ‘2019년 판매...",0.0
2114,"""에어백이 온 몸을 감싼다면?""…현대차가 '애니'로 보여준 미래 기술",1.0
2115,"""넥쏘, 쏘굿"" 독일서 인정받은 현대 수소차",1.0
2116,"“생산 잘 되고 車 팔려야 투쟁도 가능”… 현대차 노조, 공멸 위기에 인식 변...",0.0
2117,현대차 수소전기차 '넥쏘'…독일 자동차 전문지서 호평,1.0
2118,"현대차 노조 ""회사가 살아야…"" 임금투쟁서 일자리투쟁으로",0.0
2119,"[사설] ""회사가 살아야 우리도 산다""는 현대차 노조의 변화",1.0
2120,"""회사가 생존해야 노조도 산다"" 현대차 노조, 말은 180도 달라졌는데…",0.0
2121,"""회사 생존해야 노조 유지""…현대차 노조, 품질혁신 강조",1.0
2122,"현대글로비스, 물류스타트업 사업화 지원",1.0
2123,"현대모비스, 7000명 협업툴 '플로우'로 소통한다",1.0
2124,"옛 모습 살리고 환경은 개선… 현대차, 강릉시와 도시재생 협약",1.0
2125,현대차 “해외 우수 인재 365일 상시 채용”,1.0
2126,"일상 파고든 수소 모빌리티···현대차, 승용서 상용까지 무탄소시대 연다",1.0
2127,[여의나루] 수소차의 두가지 혁신방식,1.0
2128,"현대차, 해외 석·박사급 인재 상시채용 한다",1.0
2129,"현대차, 해외 우수인재 365일 수시 채용 실시",1.0
2130,"현대차, 국내 이어 해외 인재 채용도 상시 채용으로 전환",1.0
2131,"현대차, 지역경제 활성화 위한 '상생 캠페인' 실시",1.0
2132,현대차 ‘지역경제 살리기’ 상생 캠페인 팔 걷었다,1.0
2133,"현대차, 여름휴가 4박5일 무료 렌탈 이벤트",1.0
2134,"""어, 재용이형이 번개쳤네""…新협력 시대 연 젊은 총수들",1.0
2135,정의선 부회장·최태원 SK 회장…현대차 ‘배터리 동맹’ 완전체 구축,1.0
2136,"현대차·LG·KT, 국가시범도시 SPC 공모 참여…세종 4개, 부산 2개 대표사 참...",1.0
2137,"현대차, 글로벌 배터리 1위·4위·7위와 동맹 완성",1.0
2138,"배터리 회동 마친 현대차, 차세대 전기차 속도 내나",1.0
2139,"현대차, 수소트럭 세계 첫 대량생산",1.0
2140,친환경 상용차 맨앞에 현대차… 세계 첫 수소전기 트럭 수출,1.0
2141,[사설] 수소차 분야에서 앞서 나가는 현대차의 성과,1.0
2142,"현대차, 세계 첫 양산 대형 수소전기 트럭 스위스 수출",1.0
2143,"현대차, 세계 첫 수소 대형트럭 양산… 수출길",1.0
2144,"""니콜라 보고 있나?""…현대車 '수소트럭 생태계' 치고 나갔다",1.0
2145,"현대차, 대형 수소전기트럭 세계 첫 양산...스위스에 1600대 수출",1.0
2146,상용차도 양산…현대차 수소차 시장 석권,1.0
2147,"현대차, 수소전기 트럭 5년간 스위스에 1600대 공급",1.0
2148,`긴축` 현대모비스… AS부품박스 통합,0.0
2149,플랫폼 이어 게임주 시총도 자동차 넘었다,0.0
2150,"현대차, 세계 첫 수소전기트럭 양산…“올해 말까지 50대 수출”",1.0
2151,[포토] 현대차 수소전기트럭 첫 수출,1.0
2152,"현대차, 세계 첫 수소 트럭 수출",1.0
2153,"현대車, 세계 최초 `수소트럭` 양산",1.0
2154,"현대차, 세계 최초 수소전기 상용차 스위스 수출…수소 리더십 공고화",1.0
2155,"현대차, 세계 첫 수소전기 트럭 양산… 스위스 수출",1.0
2156,"현대차, 세계 최초 수소전기 트럭 양산… 스위스 수출",1.0
2157,"현대차, 수소전기차 7년만에 판매 1만대",1.0
2158,"현대차, 세계 첫 ‘수소전기 대형트럭’ 양산",1.0
2159,"[단독]고객 품질 품평회, 쓴소리 가감없이 사내 생중계한 현대차",0.0
2160,'넥쏘'의 힘...현대 수소차 누적판매 1만대 돌파,1.0
2161,`넥쏘`야 고맙다… 수소車 1만대 시대 연 현대차,1.0
2162,"현대차, 수소트럭 세계 첫 양산… 상용차시장 ‘게임체인저’ 떴다",1.0
2163,"현대차, 상용차 고객 안전 위해 '어드밴스드 케어 프로그램' 도입.. 차량 고장...",1.0
2164,상반기 美시장 판매량 뚝… 고민 커지는 현대·기아차,0.0
2165,"현대글로비스, 폴크스바겐그룹車 중국운송 5년간 떠맡는다",1.0
2166,자동차산업 수출 체감경기 ‘역대최저’,0.0
2167,현대글로비스 '5000억 대박'…폭스바겐 독점 운송한다,1.0
2168,"현대글로비스, 폭스바겐과 5천억 운송 계약",1.0
2169,"현대글로비스, 폭스바겐 실어 나른다",1.0
2170,현대·기아차 상반기 美 시장 ‘선방’,1.0
2171,"완성차 5社, '개소세 막차'에 6월 내수 역대급 팔아(종합)",1.0
2172,"현대차, 스타트업 투자 1위…車 미래기술 기업에 7157억",1.0
2173,"현대기아차, 마틴 자일링어 상용개발담당 부사장 영입",1.0
2174,"현대차, 협력사 위해 채용박람회 주선…`테크페스테벌`로 혁신붐 조성",1.0
2175,현대차 얼마나 잘 팔리면…주52시간+특근 8~10시간,1.0
2176,[단독] 현대차 주62시간 근무 허용…코로나 보릿고개 넘는다,1.0
2177,현대차 울산공장 주 64시간 일한다…고용부 특별연장근로 인가,1.0
2178,"현대글로비스, 클라우드 기반 비대면 업무시스템 전면 구축",1.0
2179,"달라진 현대차 노조 ""시장 없인 생존 없다""",0.0
2180,"5년만에 영업이익 반토막... 절박한 현대차 노조 ""고객 사랑 받자""",0.0
2181,"현대차 협력사 한국게이츠, 31년만에 한국 시장 떠난다",0.0
2182,"현대차 2차협력사 또 폐업···""부품수급엔 이상無""",0.0
2183,현대차 “올해 유럽시장 친환경차 생산량 1위 찍겠다”,1.0
2184,"현대자동차그룹, 연료전지시스템 등 수소산업 생태계 확장",1.0
2185,현대기아차그룹-고객이 달리면 나무가 쑥쑥…5년째 숲 조성 캠페인,1.0
2186,"[글로벌 이슈 plus] ""코로나 방역 성공"" 선언한 베트남 …`제2 세계의공장` 빗...",1.0
2187,"[타봤어요]그랜저 ""사장님→국민車 등극""…7개월째 1위 이유 있네",1.0
2188,"'스마트시티 국가시범도시' 판 커진다...건설사 외 현대차, LG, SK, 카카오도...",1.0
2189,"코로나 위기에… 현대차 노조, 상생 택했다",1.0
2190,현대차 노사 “품질혁신 통해 코로나 위기 넘자”,1.0
2191,"<포스트 코로나, ‘相生’으로 주도한다>협력사의 연구·개발 뒷받침… 신기술...",1.0
2192,730조원 UAM 시대 본격 개막…한화·현대·두산·SK '팀 코리아' 모였다,1.0
2193,"""코로나19 극복 위해 '품질혁신' 나서자"" 뜻 모은 현대차 노사",1.0
2194,"코로나 위기에 뭉친 현대차 노사..""품질혁신이 생존이자 고용안정""",1.0
2195,코로나 파고 앞에 ‘손 잡은’ 현대차 노사,1.0
2196,"현대차 노사, 품질 향상 위해 '맞손'",1.0
2197,"현대차 노사 ""품질혁신해 코로나 극복""…품질세미나후 공동 선언",1.0
2198,"‘방산 알짜’ 현대로템 매각 검토, 왜?",0.0
2199,"현대차그룹, 현대로템 분리매각 검토",0.0
2200,현대차 노사 '품질 혁신' 손잡았다,1.0
2201,"현대차그룹, 美 최고 디자인스쿨과 손잡다",1.0
2202,"현대차, 美 최고 디자인스쿨과 손잡다",1.0
2203,"""해외 공장은 고용유연성이 매력""…일자리 15만개 빼앗겼다",0.0
2204,친환경차發 실업대란 불보듯…현대차만 5천여명 위기 내몰려,0.0
2205,정의선 '전기차 광폭행보'에…현대모비스 '꿈틀',1.0
2206,한 번에 20분 충전으로 서울~부산 가는 전기차 시대 온다,1.0
2207,현대 셀렉션 ‘퍼스널 모빌리티’ 해답을 쓰다,1.0
2208,현대차 5년간 품질개선에 2000억 투자,1.0
2209,"현대·기아車, 전기차 브랜드 `글로벌 톱10`",1.0
2210,"현대차, 게임 체인저 야심… 배터리 3社와 ‘전기차 드림팀’뜬다",1.0
2211,[사설] 현대차-엘지·삼성·SK ‘배터리 동맹’ 기대된다,1.0
2212,[시그널 INSIDE] 현대로템 '임원 80%' CB청약 했다는데,0.0
2213,"""반도체 맞먹는 배터리시장"" 4대그룹 총수 미래먹거리 확보 뭉친다",1.0
2214,현대車 끌고 삼성·SK·LG 밀고…미래차 '팀코리아' 탄력,1.0
2215,"현대車, 삼성이어 LG와 동맹 강화…`배터리 빅텐트` 시동",1.0
2216,"현대차, 삼성·LG·SK와 ‘배터리 4者동맹’",1.0
2217,"전기차 '팀코리아'…정의선 주도 배터리 동맹, 삼성·LG·SK로 확장",1.0
2218,“미래차 배터리 손잡는다”…정의선-구광모 ‘의기투합’,1.0
2219,현대차 협력사 조업 재개…팰리세이드 생산 정상화,1.0
2220,"현대차그룹, 2025년까지 전동화 차량 44종 목표…""차세대 먹거리""",1.0
2221,中 자동차시장 양극화...베이징현대는 고전,0.0
2222,"현대차, 삼성·LG·SK와 ‘전기차 배터리 4륜 동맹’ 시동",1.0
2223,현대차 ‘배터리 동맹’ 가속,1.0
2224,車 부품업체 무너지면 완성차 업체도 ‘생사 기로’,0.0
2225,“경영악화 더 못 버티겠다” 2차 협력사 납품 포기…팰리세이드·투싼 출고 ...,0.0
2226,"돈 줄 마른 현대차, C쇼크에 자금조달 셈법 복잡",0.0
2227,"한국타이어, '현대차 드라이빙 센터 건립' 협약 발표에 주가 회복 '시동'",1.0
2228,스타트업 발굴나선 정의선·구광모… 전기車·배터리 시장 지배력 제고,1.0
2229,[Start-up & Partner] `車부품 윤활제` 국산화 성공…`소·부·장` 자립 불 밝...,1.0
2230,"현대차, 협력업체 사업 포기에 생산차질 우려",0.0
2231,[단독] 현대차 2차 협력사 사업포기···팰리세이드 생산 또 중단되나,0.0
2232,협력업체 사업포기에 현대차 생산차질 위기,0.0
2233,현대차 '베트남 국민차' 질주…2분기 연속 도요타 제칠 듯,1.0
2234,"현대차 정몽구 재단 '온드림스쿨', 농어촌 교육공백 메운다",1.0
2235,현대차-국방부 손잡고… 軍에도 수소차 투입,1.0
2236,"현대차, 국방부 수소버스 도입·충전소 구축 MOU",1.0
2237,현대로템 CB 일반청약…1655억 모집에 7.9조 몰려,1.0
2238,위기의 자동차 부품 업계에 1조원 이상 지원,1.0
2239,"코로나19, 자동차 설계까지 바꿨다",0.0
2240,수출 부진ㆍ인명 사고ㆍ품질 문제까지… ‘트리플 악재’ 덮친 현대차,0.0
2241,"""현대·기아차에 제네시스까지"" 인제에서 누구나 카레이서 꿈 키운다",1.0
2242,"""車생태계 붕괴될라""…자동차 부품사에 1조+α 긴급 투입",0.0
2243,은성수 “쌍용차 지원 어렵다”→“심의위서 판단” 미묘한 변화,0.0
2244,"‘광주형 일자리’ 자동차공장, 첫 ‘상생형 지역일자리’ 선정",1.0
2245,정부·현대車·한국GM 등 '3000억+α' 협력사 특별지원 맞손,1.0
2246,"현대차 '팰리세이드', 중고차 가격 방어 끝판왕",1.0
2247,車 수출 막히자…부품·철강·타이어 연쇄 타격,0.0
2248,"정부, 韓자동차 전·후방 산업 '상생' 플랜 가동...3000억 긴급 투입",1.0
2249,"코로나로 힘든 자동차 산업에 정부, “3000억 특별보증”",1.0
2250,저신용 車협력업체 3000억 특별보증… 기존대출도 만기연장,1.0
2251,[단독]재고 쌓여… 주차공간 꽉찬 현대차,0.0
2252,"""시장 불확실""… 쪼그라든 중간배당",0.0
2253,[특파원 칼럼] 베트남 경제의 아킬레스건,0.0
2254,또 기계에 끼여…하청노동자의 비극 언제까지,0.0
2255,33년간 5000대 판매… 현대차 열 번째 ‘판매거장’,1.0
2256,글로벌 車업계 신용 하락에도…현대차는 `꿋꿋`,1.0
2257,"현대·기아차, 무디스 신용등급 유지 '선방'",1.0
2258,종이컵 대신 머그컵… 현대차 울산공장 35억 경비 절감,1.0
2259,"현대차, 서울시에 장애인 특장차 10대 지원",1.0
2260,"""車업계 함께 코로나 고비 넘겨야""…손잡은 완성차-부품",1.0
2261,현대차 울산공장 `아나바다`로 35억 절약,1.0
2262,"""공장간 물량 불균형""…현대차 노사관계 '새 화두' 되나",0.0
2263,"<포스트 코로나, ‘相生’으로 주도한다>글로벌 공급망 붕괴의 역설… 국내 협...",0.0
2264,"한 영업사원이 5,000대 판매···'판매 거장' 안광혁 현대차 영업부장",1.0
2265,33년간 5천대 팔아…현대차 `판매거장`으로,1.0
2266,현대차 판매거장에 안광혁 부장 ‘5000대 판매기록’,1.0
2267,전기차 혹한시험 테슬라 제쳤다…코나 1등 이끈 건 열관리 기술력,1.0
2268,[사설] ‘윈-윈’ 선택한 현대차 노조에 주목한다,1.0
2269,"현대차, 수소車·UAM…미래 모빌리티시장 주도",1.0
2270,"[청론직설]“제2 삼성·현대차 나오려면 기업들에 ‘경쟁할 자유’ 줘야""",0.0
2271,"현대차·현대차대리점협회, ‘꾸러기 보호 키트’ 제작용 기부금 전달",1.0
2272,"현대차·현대차대리점협, 기부금 전달",1.0
2273,국내 자동차업계 “테슬라 독주 막아라”,1.0
2274,"현대차 노조 ""백화점식 요구안 보다 조합원 생존에 집중""",0.0
2275,"""현장서 불량 없애자"" 현대차 노조의 반성",1.0
2276,"현대차-현대차대리점협회, '코로나19' 극복 기부금 전달",1.0
2277,"코로나 덮쳤어도…車노조 ""임금인상""",0.0
2278,"""굿바이 해치백""…현대차 'i30·벨로스터' 단종",0.0
2279,"현대차, 전국 대리점 1860곳에 557억 푼다",1.0
2280,"현대차그룹, 車 판매·부품 대리점 557억 지원",1.0
2281,"현대차, 車 생태계 살리기 557억 지원",1.0
2282,"“영업망 살리자”…현대차그룹, 대리점에 557억 ‘수혈’",1.0
2283,"현대·기아차, 판매대리점에 557억 지원",1.0
2284,"현대차 정몽구 재단, 미래산업·문화예술 장학생 98명 선발",1.0
2285,"현대차그룹, 코로나 위기에 판매대리점 지원 70% 늘린다",1.0
2286,"""대리점은 핵심 파트너"" 현대차그룹, 운영자금 557억 쏜다",1.0
2287,"삼성·현대차 등 금융사 둔 그룹, 재무 악화땐 개선계획 내야",0.0
2288,"현대차, 車대리점 상생경영",1.0
2289,현대차그룹 ‘코로나19 극복’ 판매 대리점에 557억 지원,1.0
2290,"현대차그룹, 대리점 등에 557억원 운영자금 지원",1.0
2291,"LG그룹 시가총액, 현대차그룹 제치고 3위로",1.0
2292,"‘전기차 배터리’ 장착 엘지그룹, 현대차 젖히고 시총 3위로",1.0
2293,"금융위, 삼성·현대차 등 재벌 금융그룹 감독",0.0
2294,"“삼성·현대차 등 복합금융그룹, 건전성 악화 땐 경영개선 계획 내야”",0.0
2295,코로나後 패권잡겠다…글로벌車 187조 확보,1.0
2296,현대차·아우디·벤츠 등 11차종 11만6710대 리콜,0.0
2297,"현대차 정몽구재단, 라오스 실명예방 나선다",1.0
2298,"현대오토에버, 자동차 부품협력사에 ICT 통합구매서비스 제공",1.0
2299,5년 뒤 여의도서 인천공항까지 날아서 간다,1.0
2300,‘생큐 팰리세이드’ 현대차 미국판매 5월 소폭 회복,1.0
2301,"현대기아차, 5월 美시장서 바닥 찍고 반등",1.0
2302,"현대차, 美서 C쇼크 선방…팰리세이드 8000대 육박",1.0
2303,"현대차 ""美서 C쇼크 선방""…팰리세이드 8000대 육박",1.0
2304,"""국내 수출 SUV가 효자노릇""…현대·기아차, 美 5월 판매 10만대 회복",1.0
2305,그랜저·아반떼 신차효과…세단이 다시 뜬다,1.0
2306,"""C쇼크 없다"" 현대차 하이브리드 판매 질주",1.0
2307,코로나19로 또 울상 車업계…내수성장·해외판매 회복세 '위안',0.0
2308,車 판매절벽은 벗어났지만...아직 살얼음판,0.0
2309,"현대차, 지난달 해외 판매 ‘반토막’…기아차도 44% 감소",0.0
2310,쏘나타는 아빠차? 이젠 오빠차,1.0
2311,"20년간 ‘경제효과 253조’ GBC 착공… 강남, 반세기만에 획기적 변신[인사이...",1.0
2312,"현대차그룹의 통큰 결단 ""4년 더 KPGA 후원""",1.0
2313,재활용배터리 ESS사업 진출…현대차·한화큐셀 손잡았다,1.0
2314,"""전기차배터리를 ESS로"" 현대차-한화큐셀 맞손",1.0
2315,"현대차-한화큐셀, 재활용 배터리 ESS 공동개발",1.0
2316,"삼성SDI+현대차, 삼성전자+이마트…삼성發 '신협력시대'",1.0
2317,"현대차 정몽구 재단-세종문화회관, 문화예술 진흥 위해 손잡아",1.0
2318,"글로벌 국내외 항공인재 우르르… 현대차, 도심항공모빌리티 진지로",1.0
2319,"현대차, 국내 모빌리티 스타트업에 차량 데이터 오픈",1.0
2320,"현대자동차, 헌혈캠페인 통해 의료 현장 지원",1.0
2321,'스파이더맨3'에 현대차 미래차 기술 등장한다…현대차·소니와 '맞손',1.0
2322,현대차 노사 “소외계층 아이들 꿈 응원해요”,1.0
2323,현대차노사 “지역아동 미래 응원해요”,1.0
2324,코로나 위기 속 車업계 임단협 돌입,0.0
2325,"현대자동차, 동호회 레이싱팀 ‘TEAM HMC’ 4년 연속 후원",1.0
2326,현대자동차그룹-전국 서비스협력사 가맹금 50% 감면…대구·경북은 전액,1.0
2327,[단독] 6월에도 `코로나 터널`…완성차 또 셧다운,0.0
2328,"현대차, 아마추어 동호회 레이싱팀 후원",1.0
2329,"현대차, 아마 레이싱팀 ‘TEAM HMC’ 4년연속 후원",1.0
2330,"현대차-GS칼텍스, 수소차 대중화 위해 손잡았다",1.0
2331,문 닫을뻔한 공연계 `생존의 외침`,0.0
2332,"현대차노조 ""신형 투싼 국내 생산 고수해야""",0.0
2333,"[렌탈&파이낸스] 현대모비스 손잡은 얀덱스, 자율車 강자로",1.0
2334,"""美·EU 추진하는 구글세에 삼성전자·현대차 유탄맞아""",0.0
2335,[라이드온] 금기에 대한 도전…‘삼각떼’는 잊어라 ‘역시 국민차’,1.0
2336,인도공장 재가동 보름여만에 현대차 직원 3명 코로나 확진,0.0
2337,현대車 고양 모터스튜디오 `드라이브 인 콘서트` 성황,1.0
2338,"현대차, 전세계서 코로나 지원… 의료진 감사영상 조회 1000만 돌파",1.0
2339,카카오 시총 21조5062억… 현대차 제치고 9위 올라서,1.0
2340,수출 채비 나서는 中 자동차…'현대차 텃밭' 인도 노린다,0.0
2341,공장 다시 돌지만 수요는 '절벽'.. 현대차 가동률 아직 절반 수준,0.0
2342,"거침없는 카카오, 시가총액 현대차 넘본다",1.0
2343,싼타페 하이브리드를 어쩌나… 머리 싸맨 현대차,0.0
2344,"귀차니즘에 자동 갱신한 당신, 자동차보험료 8만원 손해봤다",0.0
2345,현대차 ‘글로벌 수소 캠페인’ BTS 영상 조회수 1억 돌파,1.0
2346,"달라진 현대차 노조 ""현실 직시해야 미래 있다""",1.0
2347,한화 영업이익 62% CJ 54% 상승···언택트·선제투자 빛났다,1.0
2348,"""미래차 주도권 잡자"" 동행하는 현대차 노사",1.0
2349,미래車·코로나에 달라진 현대차 노사관계,1.0
2350,"싼타페 하이브리드, 내년에나 타겠네요",0.0
2351,잘 자란 삼성전자·현대차 스타트업 잇따라 독립,1.0
2352,삼성전자-현대차 사내 벤처육성 결실,1.0
2353,'품 안의 사내벤처' 세상에 내놓은 삼성·현대차,1.0
2354,"삼성·현대차, 社內 스타트업 잇달아 창업 ‘결실’",1.0
2355,"'스타트업' 낳는 현대차, 이번에 독립한 4곳은 어떤 기업?",1.0
2356,"현대차는 3D·모빌리티, 삼성은 AI…뻗어나가는 사내벤처",1.0
2357,"""재고부담 어쩌나""… C쇼크 덮친 현대차 부품사 `우울한 실적`",0.0
2358,"현대차그룹, 코로나로 해외법인 줄줄이 적자",0.0
2359,유아 안전·스마트 튜닝 기술 등 현대차 사내 스타트업 4곳 `독립`,1.0
2360,"코로나 여파…中 진출 기업들, 1분기 실적 줄줄이 어닝쇼크",0.0
2361,"'창업 사관학교' 삼성·현대車, 올해 스타트업 16곳 배출",1.0
2362,"훨훨 나는 넥슨…시가총액, 현대자동차도 넘었다",1.0
2363,"시총 20조 눈앞…카카오, 제조업 대표株 현대차 넘을까",1.0
2364,현대차가 쏘아올린 '배터리 코리아' 4각연대,1.0
2365,이재용·정의선 '미래차 동맹' 車전자장비 당장 손잡을 수 있다,1.0
2366,[경제 블로그] 삼성·현대차 ‘K배터리’ 드림팀 주목하는 이유,1.0
2367,"현대차그룹, 대구 의료진에 간식 지원",1.0
2368,"현대차, 코로나 분투 대구 의료진에 고영양 도시락",1.0
2369,현대·기아차 전동화 박차…“글로벌 톱3” 예약,1.0
2370,"코로나 선방한 현대차그룹, GM 추월 '세계 4위' 질주",1.0
2371,"""의료진, 영양 챙겨요!""…'코로나19 전사' 지원하는 현대차그룹",1.0
2372,"""코로나19 극복"" 도시락·간식까지…현대차그룹, 현장맞춤형 의료진 지원",1.0
2373,"현대차그룹, 코로나19 의료진에 맞춤형 지원…도시락·홍삼세트 전달",1.0
2374,"현대차, 대구 의료진에 도시락 지원",1.0
2375,"현대차그룹, 코로나19 극복 위해 현장맞춤형 의료진 지원 지속",1.0
2376,"도시락 전달·구급차 무상점검…현대차, 맞춤형 의료 지원",1.0
2377,"현대차그룹, 대구의료진에 영양도시락 지원",1.0
2378,"현대차그룹, 헌혈·도시락 등 현장맞춤형 의료진 지원",1.0
2379,"현대차 투싼, 美 누적판매 100만대",1.0
2380,"[단독]현대차 스핀오프 엠바이옴, '그랩'과 손잡았다",1.0
2381,삼성·현대 ‘전기차 동맹’ 배터리 시장 판도 흔든다,1.0
2382,"삼성SDI-현대차 동맹, ‘미래한국號’ 키 쥐고 글로벌 질주",1.0
2383,자동차用 반도체도 협력 가능성… `모빌리티 연합` 탄생 기대감,1.0
2384,‘전차(電車)군단’의 미래차?… 이재용·정의선 첫 단독 회동,1.0
2385,'미래차 자급자족'···이재용·정의선 손 잡았다,1.0
2386,"삼성-현대차, 미래성장동력 ‘전기차 배터리’ 선점",1.0
2387,현장경영·실리 중시하는 두 젊은 총수…차세대 먹거리 사업 찾으며 '의기투합...,1.0
2388,"미래 먹거리 위해 손잡은 이재용·정의선, ‘전략적 동반자 관계’로",1.0
2389,"삼성·현대차 `꿈의 배터리` 협력…""기업에 힘실어줄 때""",1.0
2390,삼성-현대차 손잡자…2차전지株 '상승 랠리',1.0
2391,재계 빅2 `한국판 뉴딜` 의기투합… 미래車 시장 드림팀 뜬다,1.0
2392,삼성 이재용·현대차 정의선 ‘의기투합’…재계 1·2위의 ‘전기차 동맹’,1.0
2393,"이재용·정의선 만났다 ""삼성-현대차 경쟁에서 협력으로""",1.0
2394,"현대글로비스, 中칭다오 물류센터 운영사업자로",1.0
2395,양진모 현대차 부사장 등 ‘17회 자동차의 날’ 정부 포상,1.0
2396,양진모 현대차 부사장 등 11명 ‘자동차의 날’ 유공자 정부 포상,1.0
2397,이번엔 현대차노조가 암초…또 꼬이는 '광주형 일자리',0.0
2398,"""코로나 파고 넘는다"" 현대기아차, 중국 판매 두달째 증가",1.0
2399,양진모 현대차 부사장 '은탑산업훈장'…수소경제 활성화 기여,1.0
2400,양진모 현대차 부사장 등 11명 포상,1.0
2401,"수동인데 클러치 없이… 자동이니까 버튼·다이얼로… 변속, 참 쉽다",1.0
2402,해외공장 거의 정상화했지만…답답한 현대·기아차,0.0
2403,"현대車 전기차 30만대분…대유에이피, 핸들 수주",1.0
2404,"대유에이피, 현대차와 협업 강화… 전기차 운전대 독점 수주",1.0
2405,현대·기아차 임직원 5억6000만원 기부…릴레이 헌혈도,1.0
2406,현대기아차 임직원·노조 코로나 극복 기부,1.0
2407,"현대·기아차 임직원, 코로나 성금 5억5900만원 기부",1.0
2408,홀로서기 4주년 맞은 현대상사..정몽혁 회장의 ‘틈새공략’ 통했다,1.0
2409,[Car&Fun]고농축 'MSG' 한스푼···운전의 맛 살아났다,1.0
2410,"""자외선으로 차량 실내 살균하세요""… 현대차, 위생관리 기술 개발",1.0
2411,현대·기아차 ‘뉴욕페스티벌’ 5개 본상 수상,1.0
2412,`뉴욕페스티벌` 휩쓴 현대·기아차…본상 5개 수상,1.0
2413,"현대·기아차, 뉴욕광고제서 종횡무진",1.0
2414,국산 신차 내수전쟁 ‘더 뉴 그랜저’ 웃었다,1.0
2415,"꽉 막힌 수출길… 완성차, 내수로 U턴",0.0
2416,현대차 `그랜저` 잘나가네…두달연속 국내 판매 1위,1.0
2417,내수로 핸들 돌린 현대·기아차… `SUV 명가` 쌍용차 또 위기,0.0
2418,"""해외판매 20만대 선 붕괴""…내수 선방에도 울상 짓는 완성차 업계",0.0
2419,17년만에 최악…현대차 해외판매 10만대 붕괴됐다,0.0
2420,현대차 GBC 본격화…청담·잠실 아파트값 상승 기대 '솔솔',1.0
2421,한국車 해외판매 63% 급감했지만 '신차 효과' 내수로 버텼다,0.0
